stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1142704,1142704,VILLAGE WEST WALMART,,39.130065,-94.830952,,,,,,0
1011316,1011316,ON VILLAGE WEST PKWY AT SUNFLOWER LANE SEB,,39.124953,-94.828875,,,,,,0
101156,101156,ON VILLAGE WEST AT SUNFLOWER LANE NWB,,39.125312,-94.828875,,,,,,0
101155,101155,ON VILLAGE PKWY AT PRAIRIE CROSSING WB,,39.123864,-94.8246,,,,,,0
1011317,1011317,ON VILLAGE WEST PKWY AT PRAIRIE CROSSING SEB,,39.123487,-94.82436,,,,,,0
1011318,1011318,ON VILLAGE WEST PKWY AT CABELA DR SB,,39.118815,-94.818811,,,,,,0
114200,114200,ON VILLAGE WEST AT CABELA DR NORTHBOUND,,39.118976,-94.818485,,,,,,0
1012822,1012822,ON STATE AVE AT 95TH WESTBOUND,,39.116526,-94.799386,,,,,,0
1012816,1012816,ON STATE AVE AT 94TH WESTBOUND,,39.116511,-94.798117,,,,,,0
1011315,1011315,ON STATE AVE AT 94TH ST EB,,39.116275,-94.79734,,,,,,0
114026,114026,ON STATE AVE AT N 92ND ST  WESTBOUND,,39.116525,-94.792184,,,,,,0
1011319,1011319,ON STATE AVE AT 92ND EB,,39.116262,-94.791867,,,,,,0
1012823,1012823,ON STATE AVE AT 89TH EB,,39.116231,-94.785848,,,,,,0
1012815,1012815,ON STATE AVE AT 89TH WESTBOUND,,39.116456,-94.78551,,,,,,0
1011320,1011320,ON STATE AVE AT 86TH ST EB,,39.116218,-94.779253,,,,,,0
1012814,1012814,ON STATE AVE AT 86TH WESTBOUND,,39.11646,-94.779008,,,,,,0
114016,114016,ON STATE AVE  AT N 82ND ST WESTBOUND,,39.116468,-94.770193,,,,,,0
101154,101154,ON STATE AVE AT 82ND EB,,39.11622,-94.769007,,,,,,0
114013,114013,ON STATE AVE  AT N  78TH ST  WESTBOUND,,39.116526,-94.760726,,,,,,0
1142701,1142701,ON STATE AVE AT 78TH EB,,39.116257,-94.760237,,,,,,0
114036,114036,ON STATE AVE AT 75TH EASTBOUND,,39.116354,-94.754467,,,,,,0
114012,114012,ON STATE AVE  AT N  75TH ST  WESTBOUND,,39.11662,-94.75423,,,,,,0
1140390,1140390,KANSAS CITY KANSAS COMMUNITY COLLEGE,,39.120903,-94.748704,,,,,,0
1011301,1011301,ON STATE AVE AT CAMPUS DR WB,,39.116796,-94.747172,,,,,,0
1011302,1011302,ON STATE AVE AT CAMPUS DR EB,,39.116545,-94.746606,,,,,,0
114010,114010,ON STATE AVE AT N 69TH ST WESTBOUND,,39.116892,-94.73776,,,,,,0
114040,114040,ON STATE AVE  AT N  69TH ST  EASTBOUND,,39.116683,-94.737459,,,,,,0
1142702,1142702,ON STATE AVE AT 67TH EB,,39.116644,-94.734175,,,,,,0
1142700,1142700,ON STATE AVE AT 67TH WB,,39.116862,-94.734165,,,,,,0
114041,114041,ON STATE AVE AT N 65TH ST EASTBOUND,,39.116581,-94.72933,,,,,,0
114008,114008,ON STATE AVE  AT N 65TH WESTBOUND,,39.116848,-94.729327,,,,,,0
114042,114042,ON STATE AVE  AT N 62ND PLACE EASTBOUND,,39.116591,-94.72276,,,,,,0
114007,114007,ON STATE AVE  AT N  62ND PL  WESTBOUND,,39.116825,-94.722478,,,,,,0
234184,234184,ON MEXICO CITY AVE AT PARIS SOUTHBOUND,,39.303767,-94.718981,,,,,,0
234185,234185,KCI MEXICO CITY AVE C,,39.303533,-94.718905,,,,,,0
3807,3807,ON MEXICO CITY AVE AT PARIS NB,,39.304192,-94.718678,,,,,,0
22920,22920,ON BOGOTA CIR AT BRASILLIA AVE KCI EDGEMOR,,39.302472,-94.7184,,,,,,0
529202,529202,ON BOGOTA AT KCI SITE EASTBOUND,,39.302229,-94.718322,,,,,,0
114006,114006,ON STATE AVE  AT N  59TH PL WB,,39.116803,-94.716261,,,,,,0
234186,234186,KCI MEXICO CITY AVE D,,39.312604,-94.716211,,,,,,0
114043,114043,ON STATE AVE  AT N  59TH PL  EASTBOUND,,39.116577,-94.714575,,,,,,0
2460005,2460005,KCI AIRPORT TERMINAL C,,39.29836,-94.718353,,,,,,0
114044,114044,ON STATE AVE  AT N  57TH ST  EASTBOUND,,39.116535,-94.709989,,,,,,0
114003,114003,ON STATE AVE  AT MEADOWLARK LANE  WESTBOUND,,39.116771,-94.709604,,,,,,0
114045,114045,ON STATE AVE  AT N  55TH ST  EASTBOUND,,39.116516,-94.705264,,,,,,0
114005,114005,ON STATE AVE  AT N  55TH ST  WESTBOUND,,39.116752,-94.705034,,,,,,0
114046,114046,ON STATE AVE  AT N  52ND ST  EASTBOUND,,39.116493,-94.697386,,,,,,0
114004,114004,ON STATE AVE  AT N  52ND ST  WESTBOUND,,39.116726,-94.697163,,,,,,0
114047,114047,ON STATE AVE  AT N  50TH ST  EASTBOUND,,39.116482,-94.694685,,,,,,0
114002,114002,ON STATE AVE  AT N  50TH ST  WESTBOUND,,39.116709,-94.692706,,,,,,0
114001,114001,ON STATE AVE AT N  47TH ST  WESTBOUND,,39.116735,-94.686953,,,,,,0
474,474,47TH & STATE AVE METROCENTER SOUTHBOUND,N 47TH ST & ANN AVE,39.113408,-94.685842,,,,,,0
1012820,1012820,ON 47TH ST AT MINNESOTA AVE NB,,39.115906,-94.68645,,,,,,0
2340005,2340005,ON AMBASSADOR AT NORTH PLAZA CIRCLE SB,,39.30926,-94.682367,,,,,,0
129155,129155,ON AMBASSADOR AT SOUTHPLAZA CIR SB,,39.305132,-94.682154,,,,,,0
129154,129154,ON AMBASSADOR AT PLAZA CIRCLE NB,,39.308695,-94.681883,,,,,,0
129001,129001,ON AMBASSADOR AT 112TH ST SOUTHBOUND FARSIDE,,39.296498,-94.681783,,,,,,0
2606,2606,ON AMBASSADOR AT SOUTHPLAZA CIR NB,,39.304727,-94.681726,,,,,,0
129151,129151,ON AMBASSADOR AT 112TH NORTHBOUND NEARSIDE,,39.296463,-94.681645,,,,,,0
129002,129002,ON AMBASSADOR AT 111TH ST SB,,39.293116,-94.681643,,,,,,0
290145,290145,ON AMBASSDR AT 111TH NORTHBOUND,,39.293142,-94.681468,,,,,,0
2340002,2340002,ON AMBASSADOR AT 110TH ST SB,,39.290806,-94.679925,,,,,,0
290144,290144,ON AMBASSADOR DR AT 110TH ST NORTHBOUND FARSIDE,,39.290914,-94.679762,,,,,,0
129003,129003,ON AMBASSADOR AT 10771 AMBASSADOR SB,,39.288824,-94.678376,,,,,,0
290143,290143,ON AMBASSADOR DR AT 10771 AMBASSADOR NORTHBOUND,,39.288896,-94.678236,,,,,,0
1010041,1010041,ON STATE AT 41ST TERRACE WESTBOUND,,39.116878,-94.677956,,,,,,0
1070001,1070001,ON STATE AT 41ST TERRACE EASTBOUND,,39.116563,-94.677382,,,,,,0
129004,129004,ON AMBASSADOR AT 107TH TERR SB,,39.287129,-94.677026,,,,,,0
290142,290142,ON AMBASSADOR DR AT 107TH TERR NORTHBOUND,,39.287048,-94.676764,,,,,,0
24321,24321,ON AMBASSADOR AT 106TH NB,,39.28514,-94.675352,,,,,,0
129005,129005,ON AMBASSADOR AT 106TH ST SOUTHBOUND,,39.284921,-94.675345,,,,,,0
1010101,1010101,REMOVEJAN2019 ON STATE AT 38TH EASTBOUND,,39.116578,-94.673488,,,,,,0
129006,129006,ON AMBASSADOR AT POMONA SB,,39.282797,-94.672014,,,,,,0
24319,24319,ON AMBASSADOR AT POMONA NB,,39.282949,-94.671934,,,,,,0
